Accepted Symbol,Synonym Symbol,Scientific Name,Common Name,State and Province,County,Duration,Native Status,Invasive,Berry/Nut/Seed Product,Palatable Human,Protein Potential
BAVU,,Barbarea vulgaris,garden yellowrocket,"CAN(AB, BC, LB, MB, NB, NF, NS, ON, PE, QC, SK), DEN(GL), FRA(SB), USA(AL, AR, CA, CO, CT, DC, DE, FL, GA, IA, ID, IL, IN, KS, KY, MA, MD, ME, MI, MN, MO, MT, NC, ND, NE, NH, NJ, NM, NY, OH, OK, OR, PA, RI, SC, SD, TN, UT, VA, VT, WA, WI, WV, WY)","AR(Baxter, Benton, Boone, Carroll, Chicot, Cleburne, Crawford, Franklin, Garland, Hot Spring, Independence, Lawrence, Lincoln, Little River, Logan, Madison, Marion, Monroe, Newton, Perry, Polk, Pope, Pulaski, Randolph, Scott, Sebastian, Sevier, Stone, Washington)",Biennial,L48(I)CAN(I)GL(I)SPM(I),"KY, N'EAST, NE&GP, SWSS",,,
BAPA2,,Bartonia paniculata,twining screwstem,"CAN(NB, NF, NS, ON), FRA(SB), USA(AL, AR, CT, DC, DE, FL, GA, IL, KY, MA, MD, ME, MI, MO, MS, NC, NH, NJ, NY, OK, PA, RI, SC, TN, TX, VA, WI, WV)","AR(Calhoun, Cleburne, Conway, Dallas, Garland, Hempstead, Montgomery, Nevada, Polk, Pulaski, Saline)","Annual, Biennial",L48(N)CAN(N)SPM(N),,,,
BAPAP,,Bartonia paniculata ssp. paniculata,twining screwstem,"CAN(ON), USA(AL, AR, CT, DC, DE, FL, GA, IL, KY, MA, MD, ME, MI, MO, MS, NC, NH, NJ, NY, OK, PA, RI, SC, TN, TX, VA, WI, WV)","AR(Calhoun, Cleburne, Conway, Dallas, Garland, Hempstead, Montgomery, Nevada, Polk, Pulaski, Saline)","Biennial, AN",L48(N)CAN(N),,,,
BECH,,Belamcanda chinensis,blackberry lily,"USA+(PR), USA(AL, AR, CT, DC, DE, FL, GA, IA, IL, IN, KS, KY, LA, MD, MI, MN, MO, MS, NC, NE, NJ, NY, OH, OK, PA, SC, SD, TN, TX, VA, VT, WI, WV)","AR(Arkansas, Baxter, Benton, Carroll, Cleburne, Crawford, Drew, Faulkner, Franklin, Independence, Johnson, Lawrence, Montgomery, Newton, Phillips, Pope, Pulaski, Randolph, Scott, Sharp, Stone, Washington, Yell)",Perennial,L48(I)PR(I),,,,
BETE,,Bergia texana,Texas bergia,"USA(AR, CA, CO, IL, KS, LA, MO, MT, NE, NM, NV, OK, OR, SD, TX, UT, WA)","AR(Desha, Johnson, Perry)","Annual, Perennial",L48(N),,,,
BEBE4,,Berlandiera betonicifolia,Texas greeneyes,"USA(AR, KS, LA, MO, MS, NM, OK, TX)","AR(Boone, Independence, Madison, Marion, Polk, Sharp, Stone)",Perennial,L48(N),,,,
BEPU2,,Berlandiera pumila,soft greeneyes,"USA(AL, AR, FL, GA, LA, NC, OK, SC, TX)",,Perennial,L48(N),,,,
BEPUP3,,Berlandiera pumila var. pumila,soft greeneyes,"USA(AL, AR, FL, GA, LA, NC, OK, SC, TX)",,Perennial,L48(N),,,,
BEIN2,,Berteroa incana,hoary alyssum,"CAN(AB, BC, MB, NB, NS, ON, QC, SK), USA(AK, AR, CO, CT, IA, ID, IL, IN, KS, KY, MA, MD, ME, MI, MN, MO, MT, ND, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, RI, SD, TN, UT, VA, VT, WA, WI, WV, WY)","AR(Benton, Franklin, Washington)","Annual, Biennial, Perennial",L48(I)AK(I)CAN(I),"NE&GP, STATE, SWSS",,,
BEER,,Berula erecta,cutleaf waterparsnip,"CAN(BC, ON), USA(AR, AZ, CA, CO, IA, ID, IL, KS, MI, MN, MO, MT, ND, NE, NM, NV, NY, OK, OR, SD, TX, UT, WA, WI, WY)",,Perennial,L48(N)CAN(N),,No,No,
BIAR,,Bidens aristosa,bearded beggarticks,"CAN(ON), USA(AL, AR, CO, CT, DC, DE, GA, IA, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, NC, NE, NH, NJ, NY, OH, OK, PA, SC, TN, TX, VA, WI, WV)","AR(Arkansas, Ashley, Baxter, Benton, Bradley, Calhoun, Carroll, Chicot, Clark, Clay, Cleburne, Cleveland, Columbia, Conway, Craighead, Crawford, Cross, Dallas, Desha, Drew, Faulkner, Franklin, Grant, Hempstead, Howard, Independence, Izard, Jackson, Jefferson, Johnson, Lafayette, Lawrence, Lee, Lincoln, Little River, Logan, Lonoke, Madison, Marion, Monroe, Montgomery, Nevada, Newton, Ouachita, Perry, Poinsett, Polk, Pope, Prairie, Pulaski, Randolph, Saline, Scott, Sebastian, Sharp, St. Francis, Stone, Union, Van Buren, Washington, White, Woodruff, Yell)","Biennial, AN",L48(N)CAN(I),KY,No,No,Low
BIBI7,,Bidens bipinnata,Spanish needles,"CAN(NB, ON), USA(AL, AR, AZ, CA, CO, CT, DC, DE, FL, GA, IA, IL, IN, KS, KY, LA, MA, MD, MO, MS, NC, NE, NJ, NM, NY, OH, OK, PA, RI, SC, TN, TX, VA, WV)","AR(Ashley, Baxter, Benton, Bradley, Carroll, Clark, Cleveland, Conway, Craighead, Crawford, Drew, Faulkner, Franklin, Fulton, Garland, Greene, Hempstead, Hot Spring, Howard, Independence, Izard, Jackson, Jefferson, Lincoln, Logan, Madison, Marion, Montgomery, Newton, Poinsett, Polk, Pope, Pulaski, Scott, Sharp, St. Francis, Stone, Union, Van Buren, Washington, Woodruff)",Annual,L48(N)CAN(I),NE&GP,,,
BICE,,Bidens cernua,nodding beggartick,"CAN(AB, BC, MB, NB, NS, NT, ON, PE, QC, SK, YT), USA(AK, AL, AR, AZ, CA, CO, CT, DC, DE, GA, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MT, NC, ND, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, RI, SD, TN, TX, UT, VA, VT, WA, WI, WV, WY)","AR(Ashley, Benton, Boone, Fulton, Howard, Lee, Lincoln, Marion, Newton, Polk, Pulaski, Washington)",Annual,L48(N)AK(I)CAN(N),"NE&GP, WSWS",No,No,Low
BIDI,,Bidens discoidea,small beggarticks,"CAN(NB, NS, ON, QC), USA(AL, AR, CT, DC, DE, FL, GA, IA, IL, IN, KY, LA, MA, MD, ME, MI, MN, MO, MS, NC, NH, NJ, NY, OH, OK, PA, RI, SC, TN, TX, VA, VT, WI, WV)","AR(Ashley, Bradley, Clark, Conway, Desha, Drew, Faulkner, Franklin, Fulton, Garland, Greene, Hempstead, Jefferson, Lafayette, Lincoln, Miller, Pope, Stone, Woodruff)",Annual,L48(N)CAN(N),,No,No,Low
BIFR,,Bidens frondosa,devil's beggartick,"CAN(AB, BC, MB, NB, NF, NS, ON, PE, QC, SK), USA(AK, AL, AR, AZ, CA, CO, CT, DC, DE, FL, GA, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, NC, ND, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, RI, SC, SD, TN, TX, UT, VA, VT, WA, WI, WV, WY)","AR(Ashley, Baxter, Benton, Boone, Clay, Cleburne, Conway, Craighead, Crittenden, Drew, Faulkner, Franklin, Garland, Greene, Hot Spring, Izard, Lafayette, Logan, Madison, Marion, Mississippi, Montgomery, Nevada, Newton, Pulaski, Randolph, St. Francis, Stone, Union, Van Buren, Washington)",Annual,L48(N)AK(I)CAN(I),"N'EAST, NE&GP",No,No,Low
BILA,,Bidens laevis,smooth beggartick,"USA(AL, AR, AZ, CA, CT, DC, DE, FL, GA, IN, KY, LA, MA, MD, ME, MO, MS, NC, NH, NJ, NM, NV, NY, OH, PA, RI, SC, TN, TX, VA, WV)","AR(Crittenden, Phillips, Pulaski)","Annual, Perennial",L48(N),,No,No,Low
BIVU,,Bidens vulgata,big devils beggartick,"CAN(AB, BC, MB, NB, NS, ON, QC, SK), USA(AR, CA, CO, CT, DC, DE, GA, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NV, NY, OH, OK, OR, PA, RI, SC, SD, TN, VA, VT, WA, WI, WV, WY)","AR(Baxter, Cleburne, Conway, Drew, Newton)",Annual,L48(N)CAN(N),,,,
BIAM2,,Bifora americana,prairie bishop,"USA(AR, OK, TX)","AR(Arkansas, Benton, Nevada)",Annual,L48(N),,,,
BLCI,,Blephilia ciliata,downy pagoda-plant,"CAN(ON), USA(AL, AR, CT, DE, GA, IA, IL, IN, KS, KY, MA, MD, MI, MO, MS, NC, NY, OH, OK, PA, RI, SC, TN, VA, VT, WI, WV)","AR(Baxter, Benton, Carroll, Cleburne, Conway, Craighead, Crawford, Faulkner, Fulton, Independence, Izard, Lawrence, Lee, Marion, Newton, Phillips, Polk, Randolph, Searcy, Sharp, St. Francis, Stone, Washington)",Perennial,L48(N)CAN(N),,,,
BLHI,,Blephilia hirsuta,hairy pagoda-plant,"CAN(ON, QC), USA(AL, AR, CT, DE, GA, IA, IL, IN, KS, KY, MA, MD, MI, MN, MO, NC, NE, NY, OH, PA, TN, VA, VT, WI, WV)","AR(Crittenden, Independence)",Perennial,L48(N)CAN(N),,,,
BLHIH,,Blephilia hirsuta var. hirsuta,hairy pagoda-plant,"CAN(ON, QC), USA(AL, AR, CT, DE, GA, IA, IL, IN, KS, KY, MA, MD, MI, MN, MO, NC, NE, NY, OH, PA, TN, VA, VT, WI, WV)","AR(Crittenden, Independence)",Perennial,L48(N)CAN(N),,,,
BOCY,,Boehmeria cylindrica,smallspike false nettle,"CAN(NB, ON, QC), USA+(PR), USA(AL, AR, AZ, CA, CT, DC, DE, FL, GA, IA, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, NC, NE, NH, NJ, NM, NY, OH, OK, PA, RI, SC, SD, TN, TX, UT, VA, VT, WI, WV)","AR(Arkansas, Ashley, Baxter, Benton, Bradley, Carroll, Clark, Clay, Cleburne, Columbia, Conway, Craighead, Crittenden, Cross, Dallas, Desha, Drew, Faulkner, Franklin, Fulton, Garland, Greene, Hempstead, Hot Spring, Howard, Izard, Jefferson, Johnson, Lawrence, Lee, Lincoln, Logan, Madison, Marion, Miller, Mississippi, Montgomery, Nevada, Newton, Phillips, Pike, Poinsett, Polk, Pope, Prairie, Pulaski, Saline, Scott, Searcy, Sharp, St. Francis, Stone, Union, Van Buren, Washington, White, Woodruff, Yell)",Perennial,L48(N)PR(N)CAN(N),,No,No,
BOER,,Boerhavia erecta,erect spiderling,"USA+(PR, VI), USA(AL, AR, AZ, CO, FL, GA, LA, MD, MO, MS, NAV, NC, NM, OK, SC, TN, TX)","AR(Bradley, Clark, Craighead, Garland, Hempstead, Howard, Jefferson, Monroe, Pope, Pulaski)","Annual, Perennial",L48(N)PR(N)VI(N),,,,
BOAS,,Boltonia asteroides,white doll's daisy,"CAN(MB, SK), USA(AL, AR, CT, DE, FL, GA, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, NC, ND, NE, NJ, NY, OH, OK, OR, PA, RI, SC, SD, TN, TX, VA, VT, WI)","AR(Ashley, Bradley, Crawford, Franklin, Grant, Jackson, Jefferson, Johnson, Lafayette, Little River, Logan, Lonoke, Monroe, Saline, Union, Washington)",Perennial,L48(N)CAN(N),,No,No,Low
BOASL,,Boltonia asteroides var. latisquama,white doll's daisy,"USA(AR, CT, IA, KS, MA, ME, MN, MO, ND, NE, OK, RI, SD, VT, WI)",AR(Crawford),Perennial,L48(N),,,,
BOASR,,Boltonia asteroides var. recognita,white doll's daisy,"CAN(MB, SK), USA(AR, CT, IA, ID, IL, IN, KS, KY, MA, ME, MI, MN, MO, NC, ND, NE, NJ, NY, OH, OK, OR, RI, SD, TN, WI)",,Perennial,L48(N)CAN(N),,,,
BODI,,Boltonia diffusa,smallhead doll's daisy,"USA(AL, AR, FL, GA, IL, KY, LA, MO, MS, NC, OK, SC, TN, TX)","AR(Arkansas, Ashley, Bradley, Calhoun, Chicot, Clark, Cleveland, Conway, Craighead, Cross, Dallas, Drew, Faulkner, Garland, Howard, Independence, Jackson, Jefferson, Lafayette, Lincoln, Little River, Logan, Nevada, Pike, Polk, Prairie, Pulaski, Saline, Scott, Sevier, St. Francis, White)",Perennial,L48(N),,,,
BODID,,Boltonia diffusa var. diffusa,smallhead doll's daisy,"USA(AL, AR, FL, GA, IL, LA, MO, MS, NC, OK, SC, TX)",,Perennial,L48(N),,,,
BODII,,Boltonia diffusa var. interior,smallhead doll's daisy,"USA(AR, IL, KY, MO, MS, OK, TN)",,Perennial,L48(N),,,,
BOBI,,Botrychium biternatum,sparselobe grapefern,"USA(AL, AR, CT, DC, DE, FL, GA, IL, IN, KY, LA, MD, MO, MS, NC, OH, OK, PA, SC, TN, TX, VA, WV)","AR(Arkansas, Ashley, Benton, Bradley, Calhoun, Clark, Cleburne, Cleveland, Columbia, Conway, Craighead, Crawford, Cross, Dallas, Drew, Faulkner, Franklin, Garland, Grant, Hempstead, Hot Spring, Howard, Independence, Izard, Jackson, Jefferson, Johnson, Lawrence, Lincoln, Little River, Logan, Lonoke, Monroe, Montgomery, Nevada, Newton, Ouachita, Pike, Polk, Pope, Prairie, Pulaski, Saline, Scott, Searcy, Sebastian, Sevier, Stone, Union, Van Buren, Washington, White, Woodruff, Yell)",Perennial,L48(N),,,,
BODI2,,Botrychium dissectum,cutleaf grapefern,"CAN(NB, NS, ON, PE, QC), USA(AL, AR, CT, DC, DE, FL, GA, IA, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, NC, NH, NJ, NY, OH, OK, PA, RI, SC, TN, TX, VA, VT, WI, WV)","AR(Bradley, Clay, Cleburne, Conway, Faulkner, Franklin, Howard, Izard, Johnson, Logan, Madison, Montgomery, Newton, Perry, Polk, Pope, Pulaski, Saline, Searcy, St. Francis, Stone, Van Buren, Washington, White, Yell)",Perennial,L48(N)CAN(N),,,,
BOLU2,,Botrychium lunarioides,winter grapefern,"USA(AL, AR, FL, GA, LA, MS, NC, OK, SC, TX)","AR(Howard, Lafayette, Sevier, Union)",Perennial,L48(N),,,,
BOVI,,Botrychium virginianum,rattlesnake fern,"CAN(AB, BC, LB, MB, NB, NF, NS, NT, ON, PE, QC, SK, YT), USA(AK, AL, AR, AZ, CA, CO, CT, DC, DE, FL, GA, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, RI, SC, SD, TN, TX, UT, VA, VT, WA, WI, WV, WY)","AR(Arkansas, Ashley, Baxter, Benton, Boone, Bradley, Calhoun, Carroll, Chicot, Clark, Clay, Cleburne, Cleveland, Conway, Craighead, Crawford, Crittenden, Cross, Dallas, Desha, Drew, Faulkner, Franklin, Fulton, Garland, Grant, Greene, Hempstead, Hot Spring, Howard, Independence, Izard, Jackson, Jefferson, Johnson, Lawrence, Lee, Lincoln, Logan, Lonoke, Madison, Marion, Mississippi, Monroe, Montgomery, Nevada, Newton, Ouachita, Perry, Phillips, Pike, Poinsett, Polk, Pope, Prairie, Pulaski, Randolph, Saline, Searcy, Sebastian, Sharp, St. Francis, Stone, Union, Van Buren, Washington, White, Woodruff, Yell)",Perennial,L48(N)AK(N)CAN(N),,No,No,
BRSC,,Brasenia schreberi,watershield,"CAN(AB, BC, MB, NB, NF, NS, ON, QC), USA(AK, AL, AR, CA, CT, DC, DE, FL, GA, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, NE, NH, NJ, NY, OH, OK, OR, PA, RI, SC, SD, TN, TX, VA, VT, WA, WI, WV)","AR(Arkansas, Ashley, Bradley, Calhoun, Drew, Faulkner, Fulton, Hempstead, Jefferson, Logan, Ouachita, Poinsett, Saline, Yell)",Perennial,L48(N)AK(N)CAN(N),,,,
BRJU,,Brassica juncea,brown mustard,"CAN(AB, BC, MB, NB, NF, NS, NT, ON, PE, QC, SK), USA+(PR, VI), USA(AK, AL, AR, AZ, CA, CO, CT, DC, DE, FL, GA, HI, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, RI, SC, SD, TN, TX, UT, VA, VT, WA, WI, WV, WY)","AR(Crittenden, Dallas, Hempstead, Marion, Pike, Union)","Annual, Perennial",L48(I)AK(I)HI(I)PR(I)VI(I)CAN(I),NE&GP,No,Yes,Medium
BRNA,,Brassica napus,rape,"CAN(AB, BC, LB, MB, NB, NF, NS, NT, ON, PE, QC, SK), DEN(GL), USA(AK, AL, AR, CA, CO, CT, GA, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MO, MS, MT, NC, NH, NJ, NM, NV, NY, OH, OK, OR, RI, SC, TN, VA, VT, WA, WI, WV)",,"Annual, Biennial",L48(I)AK(I)CAN(I)GL(I),,No,Yes,Medium
BRRA,,Brassica rapa,field mustard,"CAN(AB, BC, LB, MB, NB, NF, NS, NT, ON, PE, QC, SK, YT), DEN(GL), USA(AK, AL, AR, AZ, CA, CO, CT, DC, DE, FL, GA, HI, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, RI, SC, SD, TN, TX, UT, VA, VT, WA, WI, WV, WY)","AR(Ashley, Bradley, Carroll, Chicot, Clark, Cross, Dallas, Drew, Faulkner, Franklin, Jefferson, Johnson, Lincoln, Logan, Lonoke, Phillips, Poinsett, Polk, Pope, Prairie, Pulaski, Saline, St. Francis, Washington, White, Woodruff, Yell)","Annual, Biennial",L48(I)AK(I)HI(I)CAN(I)GL(I),"SWSS, WSWS",No,Yes,High
BRRAR,,Brassica rapa var. rapa,field mustard,"CAN(AB, BC, LB, MB, NB, NF, NS, NT, ON, PE, QC, SK, YT), DEN(GL), USA(AK, AL, AR, AZ, CA, CO, CT, DC, DE, FL, GA, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, RI, SC, SD, TN, TX, UT, VA, VT, WA, WI, WV, WY)","AR(Ashley, Bradley, Carroll, Chicot, Clark, Cross, Dallas, Drew, Faulkner, Franklin, Jefferson, Johnson, Lincoln, Logan, Lonoke, Phillips, Poinsett, Polk, Pope, Prairie, Pulaski, Saline, St. Francis, Washington, White, Woodruff, Yell)","Biennial, AN",L48(I)AK(I)CAN(I)GL(I),,,,
BREU,,Brickellia eupatorioides,false boneset,"USA(AL, AR, AZ, CO, DC, DE, FL, GA, IA, IL, IN, KS, KY, LA, MD, MI, MN, MO, MS, MT, NC, ND, NE, NJ, NM, OH, OK, PA, SC, SD, TN, TX, UT, VA, WI, WV, WY)","AR(Baxter, Benton, Carroll, Cleburne, Crawford, Faulkner, Franklin, Garland, Hempstead, Hot Spring, Howard, Little River, Logan, Madison, Marion, Miller, Montgomery, Newton, Perry, Pike, Polk, Pope, Pulaski, Scott, Sebastian, Sevier, Stone, Washington, Yell)",Perennial,L48(N),,,,
BREUC,,Brickellia eupatorioides var. corymbulosa,false boneset,"USA(AR, CO, IA, IL, IN, KS, KY, MI, MN, MO, MT, ND, NE, NM, OH, OK, SD, TX, WI, WY)","AR(Faulkner, Logan)",Perennial,L48(N),,,,
BREUE,,Brickellia eupatorioides var. eupatorioides,false boneset,"USA(AL, AR, DC, DE, FL, GA, IL, IN, KY, LA, MD, MO, MS, NC, NJ, OH, PA, SC, TN, TX, VA, WV)",,Perennial,L48(N),,,,
BREUT,,Brickellia eupatorioides var. texana,false boneset,"USA(AR, IL, KS, MO, OK, TX)",,Perennial,L48(N),,,,
BRGR,,Brickellia grandiflora,tasselflower brickellbush,"CAN(AB, BC), USA(AR, AZ, CA, CO, ID, KS, MO, MT, NE, NM, NV, OR, RI, TX, UT, WA, WY)","AR(Baxter, Carroll, Logan, Marion, Newton)",Perennial,L48(N)CAN(N),,,,
BUAM,,Buchnera americana,American bluehearts,"CAN(ON), USA+(PR), USA(AL, AR, DC, DE, FL, GA, IL, IN, KS, KY, LA, MD, MI, MO, MS, NC, NJ, NY, OH, OK, PA, PW, SC, TN, TX, VA)","AR(Arkansas, Ashley, Benton, Cleburne, Faulkner, Franklin, Prairie, Pulaski, Sebastian)","Annual, Biennial, Perennial",L48(N)PR(N)CAN(N),,,,
BUAR3,,Buglossoides arvensis,corn gromwell,"CAN(BC, MB, NS, ON, QC), USA(AL, AR, CA, CO, CT, DC, DE, FL, GA, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NY, OH, OK, OR, PA, RI, SC, SD, TN, TX, UT, VA, VT, WA, WI, WV, WY)","AR(Baxter, Benton, Boone, Carroll, Clay, Crawford, Crittenden, Franklin, Garland, Greene, Independence, Jackson, Jefferson, Lawrence, Lee, Madison, Mississippi, Newton, Pope, Prairie, Randolph, Sebastian, St. Francis, Union, Washington, White, Woodruff)",Annual,L48(I)CAN(I),SEEPPC,,,
BURO,,Bupleurum rotundifolium,hare's ear,"CAN(NB, ON, QC), USA(AL, AR, AZ, CT, DC, DE, FL, GA, IL, IN, KS, KY, LA, MA, MD, MI, MO, NC, NH, NJ, NY, OH, PA, SD, TN, TX, VA, VT, WV)","AR(Marion, Washington)",Annual,L48(I)CAN(GP),SEEPPC,,,
CACA,,Cabomba caroliniana,Carolina fanwort,"CAN(ON), USA(AL, AR, CA, CT, DC, DE, FL, GA, IL, IN, KS, KY, LA, MA, MD, MI, MO, MS, NC, NH, NJ, NY, OH, OK, OR, PA, RI, SC, TN, TX, VA, WA)","AR(Ashley, Faulkner, Fulton, Greene, Independence, Mississippi, Ouachita, Pulaski, Saline, Union, Woodruff)",Perennial,L48(N)CAN(N),STATE,No,No,Medium
CACAC4,,Cabomba caroliniana var. caroliniana,Carolina fanwort,"CAN(ON), USA(AL, AR, CA, CT, DC, DE, FL, GA, IL, IN, KS, KY, LA, MA, MD, MI, MO, MS, NC, NH, NJ, NY, OH, OK, OR, PA, RI, SC, TN, TX, VA, WA)","AR(Ashley, Faulkner, Fulton, Greene, Independence, Mississippi, Ouachita, Pulaski, Saline, Union, Woodruff)",Perennial,L48(N)CAN(N),,,,
CANE17,,Calamintha nepeta,lesser calamint,"USA(AL, AR, DC, GA, KY, MD, MS, NC, NJ, NY, PA, RI, TN, VA)","AR(Hot Spring, Sevier, St. Francis)",Perennial,L48(I),,,,
CANEG,,Calamintha nepeta ssp. glandulosa,lesser calamint,"USA(AL, AR, DC, GA, MD, NC, NJ, PA, RI, TN, VA)",,Perennial,L48(I),,,,
CANEN,,Calamintha nepeta ssp. nepeta,lesser calamint,"USA(AL, AR, DC, GA, KY, MD, MS, NC, NJ, NY, TN, VA)","AR(Hot Spring, Sevier, St. Francis)",Perennial,L48(I),,,,
CAAL,,Callirhoe alcaeoides,light poppymallow,"USA(AL, AR, CO, IA, ID, IL, IN, KS, KY, LA, MO, NE, NM, OK, SD, TN, TX, WI)","AR(Faulkner, Pulaski, Washington)",Perennial,L48(N),,,,
CABU8,,Callirhoe bushii,Bush's poppymallow,"USA(AR, IA, KS, MO, OK)","AR(Benton, Boone, Carroll, Faulkner, Logan, Marion, Searcy, Van Buren, Washington)",Perennial,L48(N),,,,
CADI2,,Callirhoe digitata,winecup,"USA(AR, IL, IN, KS, LA, MO, OK)","AR(Benton, Boone, Carroll, Franklin, Madison, Perry, Sharp, Washington, Yell)",Perennial,L48(N),,,,
CAIN2,,Callirhoe involucrata,purple poppymallow,"USA(AR, AZ, CO, FL, IA, IL, IN, KS, KY, LA, MI, MN, MO, ND, NE, NM, OK, OR, PA, TX, VA, WY)","AR(Benton, Izard, Logan, Marion, Pope, Pulaski, Sharp, Van Buren, Washington)",Perennial,L48(N),NE&GP,No,Yes,
CAINI4,,Callirhoe involucrata var. involucrata,purple poppymallow,"USA(AR, AZ, CO, IA, IL, IN, KS, LA, MI, MN, MO, ND, NE, NM, OK, OR, PA, TX, VA, WY)","AR(Benton, Izard, Logan, Marion, Pope, Pulaski, Sharp, Van Buren, Washington)",Perennial,L48(N),,,,
CAPA2,,Callirhoe papaver,woodland poppymallow,"USA(AL, AR, FL, GA, KS, LA, MS, TX)","AR(Arkansas, Ashley, Van Buren)",Perennial,L48(N),,,,
CAPE23,,Callirhoe pedata,palmleaf poppymallow,"USA(AR, OK, TX)","AR(Franklin, Garland, Hot Spring, Little River, Logan, Montgomery, Perry, Pike, Polk, Pulaski, Scott, Sevier, Yell)",Perennial,L48(N),,,,
CAHE3,,Callitriche heterophylla,twoheaded water-starwort,"CAN(BC, LB, MB, NB, NF, NS, ON, QC, YT), DEN(GL), USA(AK, AL, AR, AZ, CA, CO, CT, DC, DE, FL, GA, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, RI, SC, SD, TN, TX, UT, VA, VT, WA, WI, WV, WY)","AR(Ashley, Baxter, Benton, Bradley, Clay, Cleburne, Conway, Craighead, Drew, Franklin, Fulton, Garland, Greene, Hot Spring, Howard, Johnson, Lee, Lonoke, Madison, Montgomery, Nevada, Ouachita, Polk, Pope, Randolph, Scott, Sebastian, Sevier, St. Francis, Stone, Washington, White)","Annual, Perennial",L48(N)AK(N)CAN(N)GL(N),,No,No,
CAHEH,,Callitriche heterophylla ssp. heterophylla,twoheaded water-starwort,"CAN(BC, LB, MB, NB, NF, NS, ON, QC, YT), DEN(GL), USA(AK, AL, AR, AZ, CA, CO, CT, DC, DE, FL, GA, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, RI, SC, SD, TN, TX, UT, VA, VT, WA, WI, WV, WY)","AR(Ashley, Baxter, Benton, Bradley, Clay, Cleburne, Conway, Craighead, Drew, Franklin, Fulton, Garland, Greene, Hot Spring, Howard, Johnson, Lee, Lonoke, Madison, Montgomery, Nevada, Ouachita, Polk, Pope, Randolph, Scott, Sebastian, Sevier, St. Francis, Stone, Washington, White)","Annual, Perennial",L48(N)AK(N)CAN(N)GL(N),,,,
CAPE44,,Callitriche pedunculosa,Nuttall's water-starwort,"USA(AL, AR, FL, GA, KY, LA, MS, NC, OK, TN, TX)",AR(Ashley),Annual,L48(N),,,,
CAPE16,,Callitriche peploides,matted water-starwort,"USA(AL, AR, FL, GA, LA, MS, SC, TN, TX)",AR(Ashley),Annual,L48(N),,,,
CATE19,,Callitriche terrestris,terrestrial water-starwort,"CAN(NB), USA(AL, AR, CT, DC, DE, FL, GA, IL, IN, KS, KY, LA, MA, MD, ME, MO, MS, NC, NJ, NY, OH, OK, PA, SC, TN, TX, VA, WI, WV)","AR(Bradley, Cleburne, Drew, Franklin, Lee, Logan, Pulaski, Randolph, St. Francis, Washington)",Annual,L48(N)CAN(N),,,,
CAOK2,,Calopogon oklahomensis,Oklahoma grasspink,"USA(AL, AR, GA, IA, IL, IN, KS, LA, MN, MO, MS, OK, SC, TN, TX, WI)","AR(Arkansas, Benton, Drew, Lonoke, Prairie, Sebastian)",Perennial,L48(N),,,,
CATU5,,Calopogon tuberosus,tuberous grasspink,"CAN(MB, NB, NF, NS, ON, PE, QC), FRA(SB), USA(AL, AR, CT, DC, DE, FL, GA, IA, IL, IN, KY, LA, MA, MD, ME, MI, MN, MO, MS, NC, NH, NJ, NY, OH, OK, PA, RI, SC, TN, TX, VA, VT, WI, WV)","AR(Arkansas, Benton, Drew, Franklin, Jefferson, Lonoke, Prairie, Saline, Sebastian)",Perennial,L48(N)CAN(N)SPM(N),,,,
